date,portfolio_value,cash,positions,total_pnl
2024-03-18,99665.21,116266.73,6,-334.79
2024-03-19,99665.21,116266.73,6,-334.79
2024-03-20,99665.21,116266.73,6,-334.79
2024-03-21,99546.97,114214.13,5,-453.03
2024-03-22,99546.97,114214.13,5,-453.03
2024-03-25,99172.52,109463.28,4,-827.48
2024-03-26,99172.52,113165.72,5,-827.48
2024-03-27,99172.52,113165.72,5,-827.48
2024-03-28,99172.52,113165.72,5,-827.48
2024-04-01,99172.52,113165.72,5,-827.48
2024-04-02,99604.7,113952.22,5,-395.3
2024-04-03,99604.7,118117.24,6,-395.3
2024-04-04,99747.2,125643.74,5,-252.8
2024-04-05,99747.2,113920.76,7,-252.8
2024-04-08,99658.21,119632.51,6,-341.79
2024-04-09,99658.21,119632.51,6,-341.79
2024-04-10,99658.21,119632.51,6,-341.79
2024-04-11,99658.21,116125.49,7,-341.79
2024-04-12,99853.05,118077.55,5,-146.95
2024-04-15,99752.95,124485.85,5,-247.05
2024-04-16,99428.63,116404.81,6,-571.37
2024-04-17,99428.63,116404.81,6,-571.37
2024-04-18,99817.55,115022.71,6,-182.45
2024-04-19,100610.77,117431.51,6,610.77
2024-04-22,101110.76,121349.66,4,1110.76
2024-04-23,101110.76,121349.66,4,1110.76
2024-04-24,100492.52,108766.51,4,492.52
2024-04-25,100751.12,117348.23,5,751.12
2024-04-26,100193.71,106192.72,5,193.71
2024-04-29,100866.5,97748.95,6,866.5
2024-04-30,100244.12,123001.57,4,244.12
2024-05-01,99918.4,109044.9,6,-81.6
2024-05-02,99918.4,101950.67,7,-81.6
2024-05-03,100346.03,101953.95,7,346.03
2024-05-06,99778.26,88202.11,7,-221.74
2024-05-07,99651.38,99891.68,7,-348.62
2024-05-08,99651.38,99891.68,7,-348.62
2024-05-09,99651.38,99891.68,7,-348.62
2024-05-10,99424.02,94077.76,6,-575.98
2024-05-13,99424.02,94077.76,6,-575.98
2024-05-14,99424.02,94077.76,6,-575.98
2024-05-15,99424.02,88399.96,7,-575.98
2024-05-16,99424.02,88399.96,7,-575.98
2024-05-17,98979.81,88150.6,5,-1020.19
2024-05-20,98984.22,89876.03,5,-1015.78
2024-05-21,98984.22,89876.03,5,-1015.78
2024-05-22,98984.22,89876.03,5,-1015.78
2024-05-23,99713.8,108002.59,4,-286.2
2024-05-24,99713.8,108002.59,4,-286.2
2024-05-28,99713.8,108002.59,4,-286.2
2024-05-29,99713.8,113819.23,5,-286.2
2024-05-30,99724.68,128482.81,6,-275.32
2024-05-31,99724.68,128482.81,6,-275.32
2024-06-03,99724.68,128482.81,6,-275.32
2024-06-04,99486.84,122428.33,5,-513.16
2024-06-05,98607.22,105945.11,4,-1392.78
2024-06-06,98607.22,102800.11,5,-1392.78
2024-06-07,98607.22,102800.11,5,-1392.78
2024-06-10,98607.22,108646.03,6,-1392.78
2024-06-11,98460.12,104352.23,5,-1539.88
2024-06-12,98460.12,104352.23,5,-1539.88
2024-06-13,98440.23,107477.34,4,-1559.77
2024-06-14,98440.23,107477.34,4,-1559.77
2024-06-17,98440.23,107477.34,4,-1559.77
2024-06-18,98488.96,112971.73,3,-1511.04
2024-06-20,98488.96,112971.73,3,-1511.04
2024-06-21,98488.96,112971.73,3,-1511.04
2024-06-24,98488.96,112971.73,3,-1511.04
2024-06-25,98488.96,102487.37,5,-1511.04
2024-06-26,98028.71,84723.57,6,-1971.29
2024-06-27,98028.71,84723.57,6,-1971.29
2024-06-28,97897.81,93583.18,4,-2102.19
